subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
ab,ab,Female,Rigth handed,1,0,,Mood,0.4882022
ab,ab,Female,Rigth handed,1,1,,Mood,0.8630637
ab,ab,Female,Rigth handed,1,2,,Mood,0.9560663
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
ab,ab,Female,Rigth handed,1,0,0,VR pre,0.1439864
ab,ab,Female,Rigth handed,1,0,1,VR pre,0.8970576
ab,ab,Female,Rigth handed,1,0,2,VR pre,0.1580179
ab,ab,Female,Rigth handed,1,0,0,VR post,0.8871458
ab,ab,Female,Rigth handed,1,0,1,VR post,0.202996
ab,ab,Female,Rigth handed,1,0,2,VR post,0.7105973
ab,ab,Female,Rigth handed,1,0,3,VR post,0.3322486
ab,ab,Female,Rigth handed,1,0,4,VR post,0.7357654
ab,ab,Female,Rigth handed,1,0,5,VR post,0.3639106
ab,ab,Female,Rigth handed,1,1,5,VR post,0.08365646
ab,ab,Female,Rigth handed,1,2,5,VR post,0.2675844
ab,ab,Female,Rigth handed,1,3,5,VR post,0.3073291
ab,ab,Female,Rigth handed,1,4,5,VR post,0.8175509
ab,ab,Female,Rigth handed,1,5,5,VR post,0.3205878
ab,ab,Female,Rigth handed,1,6,5,VR post,0.3236805
ab,ab,Female,Rigth handed,1,7,5,VR post,0.8595823
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
ab,ab,Female,Rigth handed,1,0,0,AR post,0.5718958
ab,ab,Female,Rigth handed,1,0,1,AR post,0.1853862
ab,ab,Female,Rigth handed,1,0,2,AR post,0.9314337
ab,ab,Female,Rigth handed,1,0,3,AR post,0.2828388
ab,ab,Female,Rigth handed,1,0,4,AR post,0.8495162
ab,ab,Female,Rigth handed,1,1,4,AR post,0.2479875
ab,ab,Female,Rigth handed,1,2,4,AR post,0.3635452
ab,ab,Female,Rigth handed,1,3,4,AR post,0.8041553
ab,ab,Female,Rigth handed,1,4,4,AR post,0.2767885
ab,ab,Female,Rigth handed,1,5,4,AR post,0.7155942
ab,ab,Female,Rigth handed,1,6,4,AR post,0.1549491
ab,ab,Female,Rigth handed,1,7,4,AR post,0.6637371
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
ab,ab,Female,Rigth handed,1,0,,Mood,0.5444072
ab,ab,Female,Rigth handed,1,1,,Mood,0.3391445
ab,ab,Female,Rigth handed,1,2,,Mood,0.6741164
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
ab,ab,Female,Rigth handed,1,0,0,VR pre,0.4476602
ab,ab,Female,Rigth handed,1,0,1,VR pre,0.7421822
ab,ab,Female,Rigth handed,1,0,2,VR pre,0.3273149
ab,ab,Female,Rigth handed,1,0,0,VR post,0.7160102
ab,ab,Female,Rigth handed,1,0,1,VR post,0.2550981
ab,ab,Female,Rigth handed,1,0,2,VR post,0.6893829
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
ab,ab,Female,Rigth handed,1,0,0,VR pre,0.7158132
ab,ab,Female,Rigth handed,1,0,1,VR pre,0.2654143
ab,ab,Female,Rigth handed,1,0,2,VR pre,0.7539979
ab,ab,Female,Rigth handed,1,0,0,VR post,0.2270086
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
